,url,title,article,date,publisher,trust,avg_score
21492,www.volkskrant.nl/nieuws-achtergrond/veertig-jaar-geleden-vond-deng-het-kapitalisme-opnieuw-uit-het-begin-van-made-in-china~bcba0f49/,Veertig jaar geleden vond Deng het kapitalisme opnieuw uit - het begin van 'Made in China',"Het is vandaag veertig jaar geleden dat de Chinese leider Deng Xiaoping de eerste stappen nam om China te openen voor de wereldmarkt.[1]
In Dengs geboortedorp Paifang is er echter niet veel tijd om stil te staan bij het begin van 'Made in China' - er moet keihard gewerkt worden.[0]
Nie Wenzhen (54) kocht met haar eerste winst een gevoerde leren jas.[0] 
Na decennia kleumen in katoenen jacks zwom ze plotseling in het geld.[0]
'We harkten kapitalen binnen met onze groothandel in huishoudelijke artikelen.[0]
'Als eerste inwoner van het Sichuanese gehucht Paifang ging Nie begin jaren negentig in zaken - een 'sprong in de zee' van het privéondernemerschap, zoals dat in de prille markteconomie heette.[0] 
Ze leende omgerekend 2.000 euro, voor die tijd een onvoorstelbaar hoog bedrag, om aan de oostkust aanstekers, plastic bekers, schoenveters en andere huishoudelijke artikelen in te slaan.[0]
 'Je kon uit werken gaan, in een fabriek. Dan verdienen anderen aan jou.[0] 
Wij gingen voor onszelf werken en verdienden aan onszelf.[0]
'Hun eerste kleurentelevisie was in 1992 een feit: het hele dorp liep ervoor uit.[0] 
",2018-12-18,vk,trusted,1
9488,www.ed.nl/show/marco-kroon-niet-in-paasshow-the-passion-wegens-gebrek-aan-tijd~af96dafdd/,Marco Kroon niet in paasshow The Passion wegens gebrek aan tijd,"Marco Kroon gaat niet de rol van Barabbas spelen in The Passion, het muzikale spektakel rond de kruisiging en wederopstanding van Jezus Christus.[1]
Volgens zijn manager komt het niet uit.[0] 
De onderscheiden militair, die onlangs in opspraak kwam, was kandidaat in de wervingsprocedure voor het evenement.[1]
Een woordvoerder van de EO gaat verder niet in op de selectieprocedure.[0] 
,,We hebben zoals altijd wat ijzers in het vuur'', laat hij weten zonder namen te willen noemen.[0] 
Barabbas is de misdadiger die volgens de Bijbel werd vrijgelaten in plaats van Jezus.[1] 
Kroon maakte vorige maand bekend dat hij in 2007 in Afghanistan een man doodde die hem eerder gevangen had gehouden en gemarteld.[1]
Naar het geweldsincident doet het OM onderzoek.[1] 
De bijrol van Barabbas werd eerder vervuld door onder anderen turner Yuri van Gelder, dj Dave Roelvink en wielrenner Thomas Dekker.[1]
Ook zij waren om verschillende redenen in opspraak geraakt.[1] ",2018-03-07,eindhovensdagblad,trusted,1
16933,https://www.martinvrijland.nl/nieuws-analyses/martin-vrijland-stopt/,Martin Vrijland stopt,"Zoals velen wellicht opgevallen is heb ik afgelopen week nauwelijks geschreven.[0] 
Het was even tijd voor bezinning.[0] 
Het uitschakelen van de Facebook-pagina had duidelijk grote impact op mijn bezoekersaantallen, ondanks dat de censuur van Facebook zelf al enkele maanden zeer invloedrijk was.[0] 
Mijn verzoek aan mensen om zich aan te melden voor de nieuwsbrief en directe updates per e-mail had weinig effect.[0] 
Men blijft verknocht aan Facebook, zelfs in de wetenschap dat zowel Facebook als Google praktisch alles van iedereen afluisteren.[5] 
Het deert mensen (zelfs na het verhaal over Cambridge Analytica) blijkbaar absoluut niet.[0]
Het gros wil gewoon de handigheid (of de verslaving) niet kwijt en de meesten lezen mijn anekdote in dit artikel over wat Facebook feitelijk zo allemaal doet, schijnbaar niet of het dringt gewoon echt niet door.[0]
Mijn inschatting is dat the social endorfine verslaving te sterk is.[0] 
De afgelopen 6 jaar heb ik mij volledig toegewijd aan het schrijven van (voor sommigen) bewustmakende en (voor anderen) ontzettend vervelende artikelen.[0]
Ik heb geprobeerd grote groepen mensen te bereiken middels het kritisch onderzoeken van moord- en/of vermissingszaken, maar heb ook wereldbeschouwingen geschreven in de breedste zin van het woord.[0] 
Dit begon alles met een drive vanuit mezelf en een enorme dosis behoefte om door de kolder en propaganda waarmee we dagelijks overspoeld worden, heen te prikken.[0]",2-4-2018,martinvrijland,untrusted,5
9110,www.bd.nl/binnenland/vermiste-orlando-17-had-twee-internetdates-voor-hij-verdween~a354adca/,Vermiste Orlando (17) had twee internetdates voor hij verdween,"De Rotterdamse scholier Orlando Boldewijn had op de avond waarop hij verdween twee internetdates.[1]
Een man in Schiedam gaf hem geld, waarmee de jongen een treinkaartje naar Den Haag kocht.[1]
Sinds vorige week zondag is Orlando spoorloos.[1]
De 17-jarige Orlando liep vorige week op zondagavond van Rotterdam naar Schiedam om een man te bezoeken die hij kende via de homo-datingapp Grindr.[1]
Zij hadden al eens eerder met elkaar afgesproken.[1]
Orlando bleef dit keer maar kort, na amper een uur gaf zijn date hem 20 euro voor de terugreis.[1]
Dat heeft de man verklaard tegenover de politie.[1] 
Orlando pakte echter niet de trein naar huis, maar naar Den Haag.[1]
Daar had hij de tweede date van die avond.[1] 
Zijn beste vriendin Noha, de woordvoerder namens de familie, vindt dat raar en opvallend.[1]",2018-02-26,brabantsdagblad,trusted,1
21196,www.volkskrant.nl/nieuws-achtergrond/hugo-klynstra-is-sinds-vandaag-een-prins-wat-betekent-dit-voor-het-huis-de-bourbon-de-parme~b9e172a0/,Hugo Klynstra is sinds vandaag een prins: wat betekent dit voor het Huis de Bourbon de Parme?,"Nederland krijgt er een prins bij - de 21-jarige Hugo Klynstra mag zich voortaan Zijne Koninklijke Hoogheid prins Carlos Hugo Roderik Sybren de Bourbon de Parme noemen.[1] 
Wat betekent dat voor het Huis de Bourbon de Parme en voor Klynstra zelf?[0] 
We vroegen het aan John Töpfer, directeur van de Stichting Adel in Nederland - zelf niet van adel.[1]
Carlos Hugo Roderik Sybren de Bourbon de Parme werd geboren op 20 januari 1997 als Hugo Klynstra.[1]
Hij is de zoon van de alleenstaande Brigitte (roepnaam Gitte) Klynstra uit Hummelo.[1]
Zijn vader is prins Carlos de Bourbon de Parme, het eerste kind van prinses Irene en de Spanjaard prins Carlos Hugo de Bourbon de Parme (overleden in 2010).[1]
Via zijn opa van vaderskant heeft hij dus recht op de achternaam en titel.[1] 
De geboorte wordt stilgehouden, maar lekt uit.[1] 
Carlos betwist niet dat hij de vader is, maar erkent het kind niet.[1]
Hij verklaarde ook dat het 'uitgesloten' was dat er 'een familierechtelijke betrekking' tussen hem en het kind zou komen.[1]",2018-02-28,vk,trusted,1
17193,https://www.martinvrijland.nl/nieuws-analyses/waarom-gaan-nederlanders-niet-massaal-de-straat-op-en-staken-het-geldermalsen-afschrif-effect/,Waarom gaan Nederlanders niet massaal de straat op en staken? Het Geldermalsen afschrik-effect?,"Afgelopen weekend had ik er nog een gesprek over met een goede vriend.[0] 
We vroegen ons af: Waarom gaan Nederlanders niet massaal de straat op om te staken en te demonstreren net als de Fransen?[0] 
Zijn wij Nederlanders dan zo dociel dat we niet meer de wil en power hebben om te zeggen “En nu is het genoeg“!?[0] 
Ik heb daar nog eens over na zitten denken.[0] 
In Frankrijk lees je van stakende Belgische cipiers die geen loon ontvangen.[0] 
Dat is waarschijnlijk de manier om een opstand snel te breken.[0] 
Zorg dat mensen zonder geld komen te zitten.[0] 
En misschien is dat wel extreem goed geregeld in Nederland.[0] 
In de jaren ’80 had je in Nederland nog de krakersbeweging en enorme vechtpartijen in Amsterdam tussen de politie en krakers om de woningnood.[1]
Toen was er nog verzet.[0]",31-5-2016,martinvrijland,untrusted,1
10415,https://speld.nl/2018/07/11/vrouw-stelt-realistische-office-reply/,Vrouw stelt realistische out-of-office reply in,"Energieconsultant Sharon van Kampen is de komende drie weken op vakantie in Frankrijk.[0]
Ze heeft een out-of-office reply ingesteld, zodat al haar collega’s en zakenrelaties weten waar ze aan toe zijn.[0]  
Beste lezer, Ik ben van 14 juli tot 2 augustus in Frankrijk, en zal daarom heel misschien wat minder snel antwoorden op telefoontjes en mails.[0] 
In principe wel bereikbaar hoor.[0]
Ik bedoel: ik heb wel met mezelf afgesproken om lekker van de vakantie te genieten en niet zoveel op m’n telefoon te kijken, maar je weet hoe dat gaat.[0] 
Er is tegenwoordig overal 4G, en dan kan ik het toch niet laten.[0] 
Op dag 1 kan ik me misschien nog inhouden, maar daarna word ik overvallen door een soort unheimisch gefühl dat ik iets mis.[0]
Ik maak mezelf dan wijs dat er misschien wel iets heel ergs is gebeurd in de tussentijd.[0]
Er kan altijd iets gebeuren. Vorig jaar had de zoon van Edith, een vriendin van me, zijn enkel gebroken bij het mountainbiken.[0]
Dat was dan niet in vakantietijd, maar als zoiets gebeurt tijdens de vakantie wil je dat natuurlijk meteen weten.[0] ",11-7-2018,speld,untrusted,0
9018,www.gelderlander.nl/show/bzv-boer-riks-vraagt-vriendin-nicole-ten-huwelijk~a0f26087/,BZV-boer Riks vraagt vriendin Nicole ten huwelijk,"De van oorsprong Nederlandse boer Riks uit Canada - bekend als de ietwat horkerige melkveehouder uit het laatste seizoen van Boer zoekt Vrouw Internationaal - heeft zijn vriendin Nicole met succes ten huwelijk gevraagd.[1] 
Het redelijk romantische aanzoek vond plaats bij de beverdam achter zijn boerderij.[1]
De bruiloft is ergens in september.[1]
Op de site van Boer zoekt Vrouw vertelt Riks (40) hoe hij Nicole vroeg zijn echtgenote te worden.[1] 
,,Het aanzoek ging wel goed.[1] 
Bij de beverdam in de achtertuin heb ik haar gevraagd.[1]
Gelukkig zei ze 'ja natuurlijk'.[0]
 Ze zag het al een beetje aankomen, maar op dat moment had ze het niet verwacht.[0]
Ik ben niet op één knie gegaan, maar heb het wel netjes gevraagd'', aldus Riks.[0] 
Zijn kinderen Owen en Olivia waren op dat moment niet thuis.[0]",2017-07-22,degelderlander,trusted,1
24056,https://www.telegraaf.nl/nieuws/1936312218/zelftest-naar-verwachting-vanaf-volgende-maand-beschikbaar,Zelftest naar verwachting vanaf volgende maand beschikbaar,"DEN HAAG - Het kabinet hoopt dat mensen vanaf volgende maand zelf een coronasneltest kunnen afnemen.[1] 
Het idee is dat de zogenoemde antigeentesten beschikbaar komen voor werkgevers en voor het onderwijs, maar ook voor ongeveer een tientje in winkels komen te liggen.[1] 
De antigeentest wordt nu alleen nog in teststraten gebruikt.[3]
De uitkomst ervan komt een stuk sneller dan bij een PCR-test, maar is ook minder gevoelig.[1]
Net als bij de PCR-test wordt met een wattenstaafje slijm uit de neus en keel afgenomen.[1]
Het ministerie van Volksgezondheid denkt dat door zelftesten eerder besmettingen kunnen worden opgespoord bij mensen die geen klachten hebben.[2]
„Zo kunnen we het virus de pas afsnijden”, aldus coronaminister Hugo de Jonge.[0] 
„Om dat eenvoudiger en laagdrempeliger te maken moeten we het anders doen: niet de mensen naar de teststraat, maar de testen naar de mensen.[0] 
We maken het daarom nu in Nederland mogelijk dat producenten van goede sneltesten daar ook een zelftestversie van maken.[1]
” Zo’n zelftestversie zou dan bijvoorbeeld een kortere wattenstaaf hebben.[0]",5-3-2021,telegraaf,trusted,1.43
19992,https://niburu.co/13275,Oude tijden lijken te herleven in Duitsland (video),"Wanneer je kijkt naar de beelden van de massale demonstraties in het Duitse Chemnitz na de moord op een autochtone 35-jarige Duitser door een afgewezen asielzoeker, is het alsof je naar een film kijkt uit de jaren dertig.[0]
Er schijnt iets gebroken te zijn bij de Duitsers, een rode lijn overschreden, en hoewel alles precies volgens een lang geleden gepland script loopt, zijn het desalniettemin beangstigende ontwikkelingen.[0]
Alhoewel het script zo transparant is als de net gewassen voorruit van je auto, is het moeilijk om niet meegezogen te worden in het verdeel- en heers mechanisme.[0] 
Op een gegeven moment word je, hoe tolerant je ook bent, woedend.[0] 
De stoom komt je oren uit als je weer eens leest dat een Westerse blanke vrouw is verkracht of aangerand door een groep moslim mannen, die vervolgens op allerlei manier uit de wind worden gehouden.[0] 
Wanneer dan ook nog eens een autochtone man wordt neergestoken door een afgewezen asielzoeker, dan word je nog nog veel bozer, zoals dat enkele dagen geleden gebeurde in Chemnitz.[0] 
Vooral omdat er wordt gezegd dat het slachtoffer deel uitmaakte van een groepje mannen dat probeerde een verkrachting/aanranding van een vrouw te voorkomen.[0]
Eén man is dood en twee anderen zijn gewond en je ziet in de berichtgeving in de media dat ze zo lang mogelijk proberen te verbergen wie de werkelijke schuldigen zijn.[0]
In voormalig DDR-stad Chemnitz is een Russisch-Duitse man (Daniel Hillig, 35) gedood en zijn twee Russisch-Duitse mannen (33, 38) afgelopen zaterdagnacht zwaargewond geraakt tijdens een handgemeen op het stadsfestival.[1]
De politie heeft twee mannen van 22 en 23 jaar aangehouden, hun betrokkenheid bij de geweldpleging wordt onderzocht.[1]",30-8-2018,niburu,untrusted,1
